document_id,doi,title,record_id,source_format,source_path,source_bytes,source_sha256,retrieval_status
record_b411210b6772a8b4,10.1093/neuonc/noy148.258,COMP-03. TUMOR CONNECTOME: INSIGHT INTO THE IMPACT OF CNS NEOPLASIA AND THERAPY ON THE BRAIN NETWORK,doi:10.1093/neuonc/noy148.258,pdf,data/full_text/v1.1.2_oversized_20k_seek66/files/b411210b6772a8b4.pdf,49851,3aa03db9e234a925f0e1ce2065f222c040ba3e4fbdeb98c3e99437f4a5b6788d,downloaded_pdf
record_1c2b604c19ec6e35,10.1093/nsr/nwy136,Genome tagging project: tag every protein in mice through ‘artificial spermatids’,doi:10.1093/nsr/nwy136,pdf,data/full_text/v1.1.2_oversized_20k_seek66/files/1c2b604c19ec6e35.pdf,601086,7ab55fca7cf78178a80378f3b7d15e4a2c23a4d483a47d2cd3af5208a5fe37a5,downloaded_pdf
record_0bfe1e3539c1aa8d,10.1093/plphys/kiaa059,On the Inside,doi:10.1093/plphys/kiaa059,html,data/full_text/v1.1.2_oversized_20k_seek66/files/0bfe1e3539c1aa8d.html,100758,4c4e2a99eaaacea12262201878ff9f01e23db1d491038d35cb11135b069d11b8,downloaded_html
record_7213871ffa36bd89,10.1101/2025.06.19.660635,Downregulation of LATS1/2 Drives Endothelial Senescence-Associated Stemness (SAS) and Atherothrombotic Lesion Formation,doi:10.1101/2025.06.19.660635,html,data/full_text/v1.1.2_oversized_20k_seek66/files/7213871ffa36bd89.html,112265,3f8fa07e7ad2465115311dfdd8dea5c0d3de84dc30b43a3a33a6f18eac7dc7f0,downloaded_html
record_c7a31d65907a5a22,10.1104/pp.104.900273,On the Inside,doi:10.1104/pp.104.900273,html,data/full_text/v1.1.2_oversized_20k_seek66/files/c7a31d65907a5a22.html,101214,a946c5937f38d615a32bffa1c42abb984164d038866d722fda0590867f86e09e,downloaded_html
record_18396d62081dbae6,10.1104/pp.110.161430,Flavonoids and Isoflavonoids: From Plant Biology to Agriculture and Neuroscience,doi:10.1104/pp.110.161430,html,data/full_text/v1.1.2_oversized_20k_seek66/files/18396d62081dbae6.html,138740,4de742a822e93c24843bd96766bebf2188fca6403c0b8870fc231e3013da7d24,downloaded_html
record_886dc84058077672,10.1104/pp.113.900456,On the Inside,doi:10.1104/pp.113.900456,html,data/full_text/v1.1.2_oversized_20k_seek66/files/886dc84058077672.html,102638,20c4c855e7a6f0ed03d8fd0353c6c3d5075b345f849f4cbc8a5f07756c2a6232,downloaded_html
record_9bfcab3228efcc0a,10.1104/pp.17.00972,On the Inside,doi:10.1104/pp.17.00972,html,data/full_text/v1.1.2_oversized_20k_seek66/files/9bfcab3228efcc0a.html,101316,0cdd26b05da7986a141cb75922f03c47870e56aac9b3a1e185d524d21a356b36,downloaded_html
record_617d9f1627b221dd,10.1111/1751-7915.12181,Silent clusters – speak up!,doi:10.1111/1751-7915.12181,xml,data/full_text/v1.1.2_oversized_20k_seek66/files/617d9f1627b221dd.xml,24605,c5e1d097f21588f131ef2a844639fd46ec09ab2259bb6babac57cb4f3ba944b5,downloaded_xml
record_74818d9cbf9f64d9,10.1111/jcmm.71017,dock11 Knockdown in Zebrafish Disrupts Embryogenesis: Insights Into the Genetic Causes of Early Pregnancy Loss,doi:10.1111/jcmm.71017,xml,data/full_text/v1.1.2_oversized_20k_seek66/files/74818d9cbf9f64d9.xml,34643,e4c45c2df33a70bdc510d5ec0d30da8fcba6b3377143961d1bd3196e6608b858,downloaded_xml
record_3fde31c87059da83,10.1111/jdi.12150,Epigenetics: Reprogrammable interface of the genome and environments,doi:10.1111/jdi.12150,xml,data/full_text/v1.1.2_oversized_20k_seek66/files/3fde31c87059da83.xml,17207,af295f1159287913c2366d77df67dac00a408db1737ee96ffe32c3b9e31f0516,downloaded_xml
record_bcb0c28f14350b67,10.1113/jp283190,Maternal obesity: influencing the heart right from the start,doi:10.1113/jp283190,xml,data/full_text/v1.1.2_oversized_20k_seek66/files/bcb0c28f14350b67.xml,26335,ecab5f7b59361b8eac8c6848ef4d2faddd8fcab16001756337d05b657b7f42c0,downloaded_xml
